InputID,TargetID,Distance
AN BURN S02 ,HT BURN O02 ,109693.390553157
AN BURN S02 ,HT BURN O03 ,109939.664027806
AN BURN S02 ,HT UNBURN C01 ,110777.5130261
AN BURN S02 ,HT UNBURN C02,110654.150017274
AN BURN S02 ,HT UNBURN G01 ,111036.604989632
AN BURN S02 ,HT UNBURN G02 ,111167.637000154
AN BURN S02 ,HT UNBURN O01 ,110718.533983238
AN BURN S02 ,HT UNBURN O02,110552.521242993
AN BURN S02 ,ML BURN G01 ,189272.062994424
AN BURN S02 ,ML BURN G02 ,189239.062224874
AN BURN S02 ,ML BURN O01 ,189175.073429046
AN BURN S02 ,ML BURN O02 ,188953.901331932
AN BURN S02 ,ML BURN O04 ,186473.487758294
AN BURN S02 ,ML BURN S01 ,188539.970941762
AN BURN S02 ,ML BURN S02 ,188488.651026715
AN BURN S02 ,ML UNBURN G04 ,190007.160164426
AN BURN S02 ,ML UNBURN G05 ,190085.356160253
AN BURN S02 ,ML UNBURN O04 ,190129.099603351
AN BURN S02 ,ML UNBURN O05 ,190071.07701419
AN BURN S02 ,ML UNBURN S01 ,188456.819274683
AN BURN S02 ,ML UNBURN S02 ,188435.40129901
AN BURN S02 ,QR BURN C01,146950.596380825
AN BURN S02 ,QR BURN C02 ,147473.21660249
AN BURN S02 ,QR BURN G01,146865.093693742
AN BURN S02 ,QR BURN G02 ,147386.312483574
AN BURN S02 ,QR BURN G03 ,148420.27535357
AN BURN S02 ,QR BURN G05,151112.398866975
AN BURN S02 ,QR BURN O01,146984.477828243
AN BURN S02 ,QR BURN O02 ,147512.252647063
AN BURN S02 ,QR BURN O03 ,148460.923679999
AN BURN S02 ,QR BURN O05,151092.126287121
AN UNBURN F01 ,AN BURN F01 ,2511.48602716943
AN UNBURN F01 ,AN BURN F02 ,2514.21619242335
AN UNBURN F01 ,AN BURN G04 ,755.680799789281
AN UNBURN F01 ,AN BURN G05 ,500.111251564625
AN UNBURN F01 ,AN BURN S01 ,575.91708679391
AN UNBURN F01 ,AN BURN S02 ,499.440646057549
AN UNBURN F01 ,AN UNBURN F02 ,125.254378658725
AN UNBURN F01 ,AN UNBURN G01 ,339.653276405997
AN UNBURN F01 ,AN UNBURN G03 ,354.695545109338
AN UNBURN F01 ,AN UNBURN S01 ,413.925744006507
AN UNBURN F01 ,AN UNBURN S02 ,76.8551032761618
AN UNBURN F01 ,BC BURN G01 ,140411.813709047
